age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
20,635651,626170,607321,595956,587868,572335,578058,605312,602480,612576,609674,615775,594700,581875,575189,580173,585466,592118,587458,592909,575636,573782,583884,597739,593081,599206,600126,603496,598710,592047,578813,572395,552761,547946,535833,526231,514231,496600,479754,463980,458492,449462,436716,418036,416574,415864,415609,415547,415359,415307,415286,415042,415004,414681,413795,412899,411517,409956,407933,406188,404316,402152,399410,396507,393397,390238,386849,383605,380412,377053,373413,369866,366189,362477,358679,354950,351322,347917,344606,341649,338744,336026,333441,331034,328915,327064,325462,323907,322464,321203,320243,319239,318176,317041,315834,314558,313216,311807,310345
21,650257,635305,632583,612255,599074,590835,584140,590437,614206,610542,618718,615920,619721,596841,584654,580454,587622,590127,593017,588045,588503,581848,581294,589648,603503,598845,604970,605890,609260,604474,597811,584577,578159,558525,553710,541597,531995,519995,502364,485518,469744,464256,455226,442480,423800,422338,421628,421373,421311,421123,421071,421050,420806,420768,420445,419559,418663,417281,415720,413697,411952,410080,407916,405174,402271,399161,396002,392613,389369,386176,382817,379177,375630,371953,368241,364443,360714,357086,353681,350370,347413,344508,341790,339205,336798,334679,332828,331226,329671,328228,326967,326007,325003,323940,322805,321598,320322,318980,317571
22,672028,650621,643386,639224,615714,603119,604671,596519,600267,623820,618115,625991,620480,622716,599431,588669,586266,591595,590999,593757,583508,595721,590338,587670,596024,609879,605221,611346,612266,615636,610850,604187,590953,584535,564901,560086,547973,538371,526371,508740,491894,476120,470632,461602,448856,430176,428714,428004,427749,427687,427499,427447,427426,427182,427144,426821,425935,425039,423657,422096,420073,418328,416456,414292,411550,408647,405537,402378,398989,395745,392552,389193,385553,382006,378329,374617,370819,367090,363462,360057,356746,353789,350884,348166,345581,343174,341055,339204,337602,336047,334604,333343,332383,331379,330316,329181,327974,326698,325356
23,708394,673909,661507,651548,643217,620124,618260,618142,606267,611599,632527,626323,631701,623610,625753,603268,594005,590504,592782,590841,588775,590811,604975,597509,594841,603195,617050,612392,618517,619437,622807,618021,611358,598124,591706,572072,567257,555144,545542,533542,515911,499065,483291,477803,468773,456027,437347,435885,435175,434920,434858,434670,434618,434597,434353,434315,433992,433106,432210,430828,429267,427244,425499,423627,421463,418721,415818,412708,409549,406160,402916,399723,396364,392724,389177,385500,381788,377990,374261,370633,367228,363917,360960,358055,355337,352752,350345,348226,346375,344773,343218,341775,340514,339554,338550,337487,336352,335145,333869
24,736842,711755,687440,671445,655410,647284,634739,632707,628144,616494,620643,641705,632953,635226,626406,629620,607703,597963,591632,591788,586919,596182,600986,612496,605030,602362,610716,624571,619913,626038,626958,630328,625542,618879,605645,599227,579593,574778,562665,553063,541063,523432,506586,490812,485324,476294,463548,444868,443406,442696,442441,442379,442191,442139,442118,441874,441836,441513,440627,439731,438349,436788,434765,433020,431148,428984,426242,423339,420229,417070,413681,410437,407244,403885,400245,396698,393021,389309,385511,381782,378154,374749,371438,368481,365576,362858,360273,357866,355747,353896,352294,350739,349296,348035,347075,346071,345008,343873,342666
25,779198,741177,727842,699874,676101,659365,662435,648469,642999,639200,625221,629785,648419,636172,638292,629535,634033,610365,598620,589181,588548,593948,606563,608758,620268,612802,610134,618488,632343,627685,633810,634730,638100,633314,626651,613417,606999,587365,582550,570437,560835,548835,531204,514358,498584,493096,484066,471320,452640,451178,450468,450213,450151,449963,449911,449890,449646,449608,449285,448399,447503,446121,444560,442537,440792,438920,436756,434014,431111,428001,424842,421453,418209,415016,411657,408017,404470,400793,397081,393283,389554,385926,382521,379210,376253,373348,370630,368045,365638,363519,361668,360066,358511,357068,355807,354847,353843,352780,351645
26,828619,784070,758879,742299,706101,680250,674244,675718,658216,654087,648230,634573,636582,651427,638904,642436,632522,636390,610326,594222,586447,595757,604837,614538,616733,628243,620777,618109,626463,640318,635660,641785,642705,646075,641289,634626,621392,614974,595340,590525,578412,568810,556810,539179,522333,506559,501071,492041,479295,460615,459153,458443,458188,458126,457938,457886,457865,457621,457583,457260,456374,455478,454096,452535,450512,448767,446895,444731,441989,439086,435976,432817,429428,426184,422991,419632,415992,412445,408768,405056,401258,397529,393901,390496,387185,384228,381323,378605,376020,373613,371494,369643,368041,366486,365043,363782,362822,361818,360755
27,865010,833458,802546,774121,749309,710814,695657,686628,684263,668204,662630,657302,641031,639283,653944,642007,645936,634599,636742,604340,592800,593962,606182,612738,622439,624634,636144,628678,626010,634364,648219,643561,649686,650606,653976,649190,642527,629293,622875,603241,598426,586313,576711,564711,547080,530234,514460,508972,499942,487196,468516,467054,466344,466089,466027,465839,465787,465766,465522,465484,465161,464275,463379,461997,460436,458413,456668,454796,452632,449890,446987,443877,440718,437329,434085,430892,427533,423893,420346,416669,412957,409159,405430,401802,398397,395086,392129,389224,386506,383921,381514,379395,377544,375942,374387,372944,371683,370723,369719
28,869634,871629,853201,819944,783404,756052,727577,709491,694690,693946,677576,671234,663290,643403,641855,657178,644515,647713,635013,630071,603690,600518,604263,614649,621205,630906,633101,644611,637145,634477,642831,656686,652028,658153,659073,662443,657657,650994,637760,631342,611708,606893,594780,585178,573178,555547,538701,522927,517439,508409,495663,476983,475521,474811,474556,474494,474306,474254,474233,473989,473951,473628,472742,471846,470464,468903,466880,465135,463263,461099,458357,455454,452344,449185,445796,442552,439359,436000,432360,428813,425136,421424,417626,413897,410269,406864,403553,400596,397691,394973,392388,389981,387862,386011,384409,382854,381411,380150,379190
29,883668,875739,891228,868826,828270,789630,772050,739773,716429,701935,701007,685561,676818,665331,645791,644695,659634,646532,647793,627765,629860,611485,610091,611975,622361,628917,638618,640813,652323,644857,642189,650543,664398,659740,665865,666785,670155,665369,658706,645472,639054,619420,614605,602492,592890,580890,563259,546413,530639,525151,516121,503375,484695,483233,482523,482268,482206,482018,481966,481945,481701,481663,481340,480454,479558,478176,476615,474592,472847,470975,468811,466069,463166,460056,456897,453508,450264,447071,443712,440072,436525,432848,429136,425338,421609,417981,414576,411265,408308,405403,402685,400100,397693,395574,393723,392121,390566,389123,387862
