age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
20,635651,626170,607321,595956,587868,572335,578058,605312,602480,612576,609674,615775,594700,581875,575189,580173,585466,592118,587458,592909,575636,573782,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948,312300
21,650257,635305,632583,612255,599074,590835,584140,590437,614206,610542,618718,615920,619721,596841,584654,580454,587622,590127,593017,588045,588503,581848,581294,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948
22,672028,650621,643386,639224,615714,603119,604671,596519,600267,623820,618115,625991,620480,622716,599431,588669,586266,591595,590999,593757,583508,595721,590338,581294,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496
23,708394,673909,661507,651548,643217,620124,618260,618142,606267,611599,632527,626323,631701,623610,625753,603268,594005,590504,592782,590841,588775,590811,604975,590338,581294,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923
24,736842,711755,687440,671445,655410,647284,634739,632707,628144,616494,620643,641705,632953,635226,626406,629620,607703,597963,591632,591788,586919,596182,600986,604975,590338,581294,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226
25,779198,741177,727842,699874,676101,659365,662435,648469,642999,639200,625221,629785,648419,636172,638292,629535,634033,610365,598620,589181,588548,593948,606563,600986,604975,590338,581294,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401
26,828619,784070,758879,742299,706101,680250,674244,675718,658216,654087,648230,634573,636582,651427,638904,642436,632522,636390,610326,594222,586447,595757,604837,606563,600986,604975,590338,581294,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440
27,865010,833458,802546,774121,749309,710814,695657,686628,684263,668204,662630,657302,641031,639283,653944,642007,645936,634599,636742,604340,592800,593962,606182,604837,606563,600986,604975,590338,581294,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349
28,869634,871629,853201,819944,783404,756052,727577,709491,694690,693946,677576,671234,663290,643403,641855,657178,644515,647713,635013,630071,603690,600518,604263,606182,604837,606563,600986,604975,590338,581294,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145
29,883668,875739,891228,868826,828270,789630,772050,739773,716429,701935,701007,685561,676818,665331,645791,644695,659634,646532,647793,627765,629860,611485,610091,604263,606182,604837,606563,600986,604975,590338,581294,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853
