age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
20,635651,626170,607321,595956,587868,572335,578058,605312,602480,612576,609674,615775,594700,581875,575189,580173,585466,592118,587458,592909,575636,573782,583884,597739,593008,598981,599679,602783,597696,590698,577096,570276,550208,544925,532311,522175,509611,491388,473923,457505,451349,441631,428176,408768,401751,395466,389597,383882,378016,372247,366476,360477,354639,348529,341925,335314,328307,321174,313699,306484,299206,291749,283912,275959,267866,259762,251526,243430,235412,227332,219128,211051,202968,194945,186960,179110,171416,163946,156627,149595,142689,135979,129437,123081,116960,111057,105358,99772,94328,89053,83988,79035,74190,69452,64823,60306,55903,51617,47452
21,650257,635305,632583,612255,599074,590835,584140,590437,614206,610542,618718,615920,619721,596841,584654,580454,587622,590127,593017,588045,588503,581848,581294,589648,603426,598618,604514,605135,608163,602999,595924,582245,575349,555203,549844,537153,526940,514299,495999,478457,461962,455730,445935,432403,412918,405824,399462,393517,387725,381782,375936,370088,364012,358097,351910,345229,338542,331458,324248,316696,309404,302049,294516,286602,278572,270402,262221,253909,245736,237641,229484,221203,213049,204889,196789,188728,180801,173030,165483,158087,150978,143996,137209,130589,124157,117959,111979,106203,100540,95020,89668,84526,79496,74574,69759,65053,60459,55980,51617
22,672028,650621,643386,639224,615714,603119,604671,596519,600267,623820,618115,625991,620480,622716,599431,588669,586266,591595,590999,593757,583508,595721,590338,587670,595938,609632,604739,610550,611086,614029,608780,601620,587856,580874,560644,555200,542424,532125,519400,501015,483388,466808,460491,450610,436993,417424,410245,403798,397767,391891,385862,379931,373999,367838,361838,355566,348800,342027,334858,327563,319927,312549,305110,297491,289493,281377,273123,264856,256459,248201,240021,231779,223413,215175,206930,198745,190598,182586,174730,167099,159617,152424,145356,138484,131780,125262,118979,112915,107053,101305,95700,90263,85036,79921,74914,70014,65223,60544,55980
23,708394,673909,661507,651548,643217,620124,618260,618142,606267,611599,632527,626323,631701,623610,625753,603268,594005,590504,592782,590841,588775,590811,604975,597509,594745,602918,616516,611528,617243,617683,620531,615186,607930,594071,586994,566668,561128,548256,537862,525041,506560,488838,472162,465750,455773,442061,422395,415121,408578,402452,396480,390356,384330,378301,372045,365949,359582,352720,345852,338587,331197,323464,315992,308456,300742,292648,284437,276087,267725,259232,250879,242603,234265,225804,217469,209129,200848,192606,184498,176547,168820,161243,153953,146790,139823,133023,126409,120031,113871,107914,102070,96369,90837,85514,80303,75201,70206,65319,60544
24,736842,711755,687440,671445,655410,647284,634739,632707,628144,616494,620643,641705,632953,635226,626406,629620,607703,597963,591632,591788,586919,596182,600986,612496,604929,602065,610138,623636,618547,624162,624502,627250,621804,614449,600489,593311,572885,567245,554273,543779,530857,512276,494454,477678,471165,461088,447275,427510,420135,413492,407266,401193,394969,388842,382714,376357,370161,363693,356731,349763,342398,334907,327074,319501,311866,304051,295857,287545,279095,270633,262040,253586,245210,236772,228210,219776,211335,202954,194611,186403,178352,170524,162847,155458,148194,141126,134226,127513,121034,114773,108716,102772,96971,91338,85915,80604,75402,70306,65319
25,779198,741177,727842,699874,676101,659365,662435,648469,642999,639200,625221,629785,648419,636172,638292,629535,634033,610365,598620,589181,588548,593948,606563,608758,620164,612494,609526,617496,630890,625698,631209,631445,634089,628540,621081,607017,599736,579206,573463,560387,549789,536764,518080,500153,483274,476657,466477,452560,432691,425213,418466,412136,405960,399632,393402,387170,380709,374410,367838,360773,353701,346232,338638,330701,323025,315286,307367,299069,290654,282100,273534,264838,256280,247801,239259,230594,222056,213511,205027,196580,188269,180113,172182,164402,156908,149541,142370,135366,128549,121966,115602,109442,103394,97489,91752,86226,80812,75505,70306
26,828619,784070,758879,742299,706101,680250,674244,675718,658216,654087,648230,634573,636582,651427,638904,642436,632522,636390,610326,594222,586447,595757,604837,614538,616626,627926,620150,617076,624939,638227,632928,638333,638463,641001,635346,627780,613610,606223,585586,579736,566554,555850,542718,523928,505895,488909,482186,471900,457877,437901,430317,423464,417028,410745,404311,397974,391636,385069,378663,371985,364813,357635,350060,342359,334317,326534,318688,310664,302259,293738,285078,276405,267602,258939,250353,241705,232933,224289,215638,207047,198494,190076,181815,173777,165890,158291,150817,143539,136429,129506,122817,116347,110080,103926,97914,92071,86439,80918,75505
27,865010,833458,802546,774121,749309,710814,695657,686628,684263,668204,662630,657302,641031,639283,653944,642007,645936,634599,636742,604340,592800,593962,606182,612738,622333,624316,635511,627630,624450,632208,645390,639986,645286,645311,647743,641982,634311,620036,612543,591802,585846,572559,561750,548512,529617,511479,494387,487559,477167,463039,442958,435268,428310,421768,415380,408841,402399,395955,389283,382771,375988,368711,361427,353747,345941,337793,329905,321954,313824,305314,296687,287922,279144,270236,261467,252776,244022,235146,226396,217639,208943,200285,191762,183395,175252,167260,159555,151976,144593,137377,130349,123554,116979,110606,104347,98230,92282,86544,80918
28,869634,871629,853201,819944,783404,756052,727577,709491,694690,693946,677576,671234,663290,643403,641855,657178,644515,647713,635013,630071,603690,600518,604263,614649,621092,630574,632445,643527,635532,632240,639885,652954,647437,652624,652536,654855,648982,641198,626809,619204,598350,592281,578881,567959,554609,535600,517349,500145,493204,482699,468458,448264,440461,433390,426735,420235,413582,407027,400471,393686,387061,380165,372775,365379,357585,349667,341406,333404,325341,317098,308475,299736,290857,281967,272945,264064,255259,246393,237403,228541,219671,210862,202092,193455,184975,176720,168615,160797,153105,145609,138280,131139,124232,117543,111058,104686,98456,92395,86544
29,883668,875739,891228,868826,828270,789630,772050,739773,716429,701935,701007,685561,676818,665331,645791,644695,659634,646532,647793,627765,629860,611485,610091,611975,622258,628598,637978,639745,650724,642627,639232,646774,659741,654121,659205,659014,661230,655254,647367,632876,625168,604211,598040,584536,573511,560059,540947,522593,505286,498242,487635,473291,452994,445088,437914,431157,424553,417798,411140,404481,397593,390866,383867,376374,368875,360979,352957,344593,336489,328323,319977,311252,302409,293428,284435,275310,266326,257419,248450,239357,230391,221419,212508,203634,194895,186312,177954,169746,161825,154030,146431,139000,131756,124746,117954,111366,104891,98559,92395
