age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
80,17987,19881,17536,18131,17462,17906,18402,18235,18153,17843,18705,17794,17035,19006,17011,18082,16891,16881,22202,20240,20887,18648
81,18315,20725,18580,19600,18845,19367,19911,19726,19551,19327,20176,19271,18627,20663,18728,20081,18620,18277,23357,21622,22467,20181
82,18895,20966,19264,20859,20324,20605,21321,21305,20979,20810,21806,20461,20182,22684,20303,21944,20494,20117,25178,22674,23997,21707
83,20250,21341,19482,21466,21395,22072,22521,22767,22359,22294,23228,21921,21553,24400,22192,23632,22336,22166,27354,24329,25170,23107
84,22552,22491,19723,21472,21930,23180,23908,23950,23617,23747,24668,23236,22989,25715,23779,25598,24027,23968,29605,26272,26886,24105
85,23906,25030,20619,21693,21729,23494,24692,25145,24357,24881,25986,24654,24102,27087,24948,27098,25964,25528,31152,28299,29003,25644
86,24045,26449,22795,22556,21752,22991,24803,25713,25455,25480,26985,25886,25233,28149,26037,28253,27205,27197,32344,29912,31155,27388
87,23410,26396,23987,24734,22382,22911,24113,25423,25855,26252,27328,26516,26184,29024,26979,29350,28060,28390,33462,30999,32621,28947
88,21766,25182,24058,25642,23944,23351,23797,24388,25320,26477,27653,26456,26746,29697,27575,29675,28769,28897,33736,31721,33494,29898
89,20562,22690,23052,25040,24497,24418,23797,23382,23887,25409,27346,26558,26561,29606,27797,29830,28807,29278,33158,31637,33830,30440
90,19107,20526,20844,23316,23671,24521,24510,23074,22947,23439,25667,26000,26256,28402,27366,29175,28383,28662,32270,30536,32950,30466
91,17736,18409,18608,20428,21752,23008,23937,23595,22165,21819,23081,24071,25167,27126,26111,27877,27414,27679,30234,29175,31048,29343
92,16142,16491,16552,17847,18784,20446,21825,22353,22042,20751,20844,21332,22815,25015,24616,25637,25850,26144,27806,26959,28974,27256
93,14564,14321,14606,15413,16095,17152,18858,19785,20532,20430,19164,19313,19740,21751,22592,23307,23489,23980,24845,24476,25757,24937
94,12491,12397,12830,13337,13623,14338,15359,16519,17548,18549,18435,17367,17430,18047,19448,20477,20950,21151,21276,21622,22610,21978
95,10635,10321,11151,11204,11464,11849,12328,12951,14234,15363,16578,16424,15401,15107,15892,16830,18006,18442,17545,18487,19028,18873
96,8516,8269,9309,9230,9567,9697,9724,10111,10968,12016,13121,14453,14181,12718,13135,13026,14619,15371,14169,15022,15245,15874
97,6727,6333,7445,7227,7687,7682,7501,7851,8453,9073,9818,11215,11560,10730,11185,10469,11143,12028,10771,11915,11648,12690
98,5222,4703,5805,5457,6008,5919,5669,6011,6432,6735,7054,8248,9089,8703,9241,8256,8363,9186,7921,9159,8566,9783
99,3963,3407,4433,3988,4535,4412,4207,4502,4840,5037,5037,5929,6833,6333,7167,6295,6407,6991,5693,6824,6085,7332
100,2937,2410,3323,2825,3297,3162,3036,3265,3571,3797,3616,4253,4894,4196,5162,4608,5046,5316,4005,4916,4183,5357
101,2090,1636,2405,1917,2281,2157,2106,2254,2537,2824,2561,3009,3338,2506,3433,3199,3995,3971,2724,3387,2745,3778
102,1376,1014,1601,1208,1495,1387,1339,1455,1650,1833,1575,1880,2178,1586,2325,2122,2690,2639,1680,2188,1673,2464
103,852,592,1005,714,920,839,801,881,1010,1121,907,1105,1340,945,1488,1330,1715,1662,969,1332,958,1512
104,496,322,595,397,529,473,450,502,581,646,490,606,777,531,898,785,1032,983,525,764,514,871
105,273,164,327,204,290,251,234,266,311,344,245,312,418,278,510,434,582,545,266,413,257,475
106,139,76,169,96,145,125,117,130,158,172,116,150,209,135,270,227,310,285,125,203,114,237
107,66,35,81,45,66,57,52,59,70,83,49,66,101,58,135,110,151,139,51,98,50,112
108,27,11,38,17,27,22,23,23,29,35,18,24,41,25,61,45,69,63,22,42,21,46
109,11,5,16,5,11,11,5,11,11,11,6,12,17,6,24,19,31,25,7,14,7,19
110,5,0,5,0,5,5,0,5,5,5,0,6,5,6,12,6,12,12,0,7,0,6
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
