age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
20,635651,626170,607321,595956,587868,572335,578058,605312,602480,612576,609674,615775,594700,581875,575189,580173,585466,592118,587458,592909,575636,573782,583884,597739,593081,599206,600126,603496,598710,592047,578813,572395,552761,547946,535833,526231,514231,496600,479754,463980,458492,449462,436716,418036,411748,406232,401170,396299,391312,386454,381627,376600,371762,366676,361120,355579,349659,343631,337276,331193,325058,318751,312070,305274,298340,291391,284309,277360,270482,263533,256450,249482,242496,235555,228637,221838,215178,208725,202404,196351,190404,184632,179006,173544,168294,163238,158361,153572,148899,144368,140021,135758,131575,127470,123445,119502,115644,111872,108189
21,650257,635305,632583,612255,599074,590835,584140,590437,614206,610542,618718,615920,619721,596841,584654,580454,587622,590127,593017,588045,588503,581848,581294,589648,603503,598845,604970,605890,609260,604474,597811,584577,578159,558525,553710,541597,531995,519995,502364,485518,469744,464256,455226,442480,423800,417512,411996,406934,402063,397076,392218,387391,382364,377526,372440,366884,361343,355423,349395,343040,336957,330822,324515,317834,311038,304104,297155,290073,283124,276246,269297,262214,255246,248260,241319,234401,227602,220942,214489,208168,202115,196168,190396,184770,179308,174058,169002,164125,159336,154663,150132,145785,141522,137339,133234,129209,125266,121408,117636
22,672028,650621,643386,639224,615714,603119,604671,596519,600267,623820,618115,625991,620480,622716,599431,588669,586266,591595,590999,593757,583508,595721,590338,587670,596024,609879,605221,611346,612266,615636,610850,604187,590953,584535,564901,560086,547973,538371,526371,508740,491894,476120,470632,461602,448856,430176,423888,418372,413310,408439,403452,398594,393767,388740,383902,378816,373260,367719,361799,355771,349416,343333,337198,330891,324210,317414,310480,303531,296449,289500,282622,275673,268590,261622,254636,247695,240777,233978,227318,220865,214544,208491,202544,196772,191146,185684,180434,175378,170501,165712,161039,156508,152161,147898,143715,139610,135585,131642,127784
23,708394,673909,661507,651548,643217,620124,618260,618142,606267,611599,632527,626323,631701,623610,625753,603268,594005,590504,592782,590841,588775,590811,604975,597509,594841,603195,617050,612392,618517,619437,622807,618021,611358,598124,591706,572072,567257,555144,545542,533542,515911,499065,483291,477803,468773,456027,437347,431059,425543,420481,415610,410623,405765,400938,395911,391073,385987,380431,374890,368970,362942,356587,350504,344369,338062,331381,324585,317651,310702,303620,296671,289793,282844,275761,268793,261807,254866,247948,241149,234489,228036,221715,215662,209715,203943,198317,192855,187605,182549,177672,172883,168210,163679,159332,155069,150886,146781,142756,138813
24,736842,711755,687440,671445,655410,647284,634739,632707,628144,616494,620643,641705,632953,635226,626406,629620,607703,597963,591632,591788,586919,596182,600986,612496,605030,602362,610716,624571,619913,626038,626958,630328,625542,618879,605645,599227,579593,574778,562665,553063,541063,523432,506586,490812,485324,476294,463548,444868,438580,433064,428002,423131,418144,413286,408459,403432,398594,393508,387952,382411,376491,370463,364108,358025,351890,345583,338902,332106,325172,318223,311141,304192,297314,290365,283282,276314,269328,262387,255469,248670,242010,235557,229236,223183,217236,211464,205838,200376,195126,190070,185193,180404,175731,171200,166853,162590,158407,154302,150277
25,779198,741177,727842,699874,676101,659365,662435,648469,642999,639200,625221,629785,648419,636172,638292,629535,634033,610365,598620,589181,588548,593948,606563,608758,620268,612802,610134,618488,632343,627685,633810,634730,638100,633314,626651,613417,606999,587365,582550,570437,560835,548835,531204,514358,498584,493096,484066,471320,452640,446352,440836,435774,430903,425916,421058,416231,411204,406366,401280,395724,390183,384263,378235,371880,365797,359662,353355,346674,339878,332944,325995,318913,311964,305086,298137,291054,284086,277100,270159,263241,256442,249782,243329,237008,230955,225008,219236,213610,208148,202898,197842,192965,188176,183503,178972,174625,170362,166179,162074
26,828619,784070,758879,742299,706101,680250,674244,675718,658216,654087,648230,634573,636582,651427,638904,642436,632522,636390,610326,594222,586447,595757,604837,614538,616733,628243,620777,618109,626463,640318,635660,641785,642705,646075,641289,634626,621392,614974,595340,590525,578412,568810,556810,539179,522333,506559,501071,492041,479295,460615,454327,448811,443749,438878,433891,429033,424206,419179,414341,409255,403699,398158,392238,386210,379855,373772,367637,361330,354649,347853,340919,333970,326888,319939,313061,306112,299029,292061,285075,278134,271216,264417,257757,251304,244983,238930,232983,227211,221585,216123,210873,205817,200940,196151,191478,186947,182600,178337,174154
27,865010,833458,802546,774121,749309,710814,695657,686628,684263,668204,662630,657302,641031,639283,653944,642007,645936,634599,636742,604340,592800,593962,606182,612738,622439,624634,636144,628678,626010,634364,648219,643561,649686,650606,653976,649190,642527,629293,622875,603241,598426,586313,576711,564711,547080,530234,514460,508972,499942,487196,468516,462228,456712,451650,446779,441792,436934,432107,427080,422242,417156,411600,406059,400139,394111,387756,381673,375538,369231,362550,355754,348820,341871,334789,327840,320962,314013,306930,299962,292976,286035,279117,272318,265658,259205,252884,246831,240884,235112,229486,224024,218774,213718,208841,204052,199379,194848,190501,186238
28,869634,871629,853201,819944,783404,756052,727577,709491,694690,693946,677576,671234,663290,643403,641855,657178,644515,647713,635013,630071,603690,600518,604263,614649,621205,630906,633101,644611,637145,634477,642831,656686,652028,658153,659073,662443,657657,650994,637760,631342,611708,606893,594780,585178,573178,555547,538701,522927,517439,508409,495663,476983,470695,465179,460117,455246,450259,445401,440574,435547,430709,425623,420067,414526,408606,402578,396223,390140,384005,377698,371017,364221,357287,350338,343256,336307,329429,322480,315397,308429,301443,294502,287584,280785,274125,267672,261351,255298,249351,243579,237953,232491,227241,222185,217308,212519,207846,203315,198968
29,883668,875739,891228,868826,828270,789630,772050,739773,716429,701935,701007,685561,676818,665331,645791,644695,659634,646532,647793,627765,629860,611485,610091,611975,622361,628917,638618,640813,652323,644857,642189,650543,664398,659740,665865,666785,670155,665369,658706,645472,639054,619420,614605,602492,592890,580890,563259,546413,530639,525151,516121,503375,484695,478407,472891,467829,462958,457971,453113,448286,443259,438421,433335,427779,422238,416318,410290,403935,397852,391717,385410,378729,371933,364999,358050,350968,344019,337141,330192,323109,316141,309155,302214,295296,288497,281837,275384,269063,263010,257063,251291,245665,240203,234953,229897,225020,220231,215558,211027
