age,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,-0.00030481000000000003,-0.00029534,-0.00028877000000000004,-0.00029011,-0.00028372,-0.00027455000000000003,-0.00027256000000000003,-0.0002512,-0.00023374,-0.00020915000000000002,-0.00020681,-0.00020912,-0.00020784,-0.00020208000000000002,-0.00018496000000000002,-0.00017460000000000002,-0.00016450000000000001,-0.00016188,-0.00016683,-0.00017062,-0.0001693,-0.00016081,-0.00014778,-0.0001395,-0.00013757,-0.00012435000000000001,-0.00011516,-0.00010728,-0.0001124,-0.00010190000000000001,-9.583999999999999e-05,-9.038e-05,-8.396e-05,-8.348e-05,-8.092e-05,-8.638e-05,-8.132e-05,-8.341e-05,-7.537e-05,-7.293e-05,-7.013999999999999e-05,-6.952e-05,-7.146e-05,-7.615e-05,-7.964e-05,-7.895000000000001e-05,-7.120999999999999e-05,-7.214e-05,-6.693e-05,-6.975e-05
11,-0.00030436,-0.00029042,-0.00028149,-0.00028757,-0.00028269,-0.00027602,-0.0002783,-0.00025726,-0.00024307999999999998,-0.00021929000000000002,-0.00021079,-0.00021026,-0.00021135999999999998,-0.00020323,-0.00019509,-0.00018287000000000002,-0.00017691,-0.00016983000000000002,-0.00017186000000000002,-0.00017951,-0.00017533999999999998,-0.00016512,-0.00015639,-0.00015239,-0.00014632,-0.0001373,-0.00012904,-0.0001179,-0.00011321000000000001,-0.00010938,-0.00010001,-9.903e-05,-8.989e-05,-8.596e-05,-8.471e-05,-9.14e-05,-9.128e-05,-8.863e-05,-8.201999999999999e-05,-7.673e-05,-7.621e-05,-7.199e-05,-7.398e-05,-7.988e-05,-8.402e-05,-7.827000000000001e-05,-7.295e-05,-7.223e-05,-6.941e-05,-7.226e-05
12,-0.00032235,-0.00031111,-0.00030075,-0.00030677,-0.0002999,-0.00029791,-0.00030198000000000003,-0.00028124,-0.00026385,-0.00023866000000000002,-0.00023076,-0.00022546,-0.00022542000000000002,-0.00021752,-0.00020946999999999998,-0.0001955,-0.00019328000000000002,-0.00019262,-0.00019831,-0.00020727999999999998,-0.00019479,-0.00018452,-0.00017782,-0.00018049,-0.00017187,-0.0001603,-0.00015404,-0.00013844,-0.00012633,-0.00012221,-0.00011029,-0.00011266,-0.00010765,-0.00010001,-9.713e-05,-0.00010299,-9.937e-05,-9.499000000000001e-05,-8.970999999999999e-05,-8.724999999999999e-05,-8.714e-05,-8.17e-05,-8.387999999999999e-05,-8.499e-05,-9.153e-05,-8.159e-05,-7.76e-05,-7.459e-05,-7.503e-05,-8.058e-05
13,-0.00037289,-0.00035865999999999996,-0.00034456,-0.00034260000000000003,-0.00032923,-0.00033959,-0.00035056,-0.00034029,-0.00032221,-0.0002881,-0.00027687,-0.00026502,-0.00026051000000000004,-0.00024335,-0.00023756,-0.00022906,-0.00023816,-0.00023996,-0.00024852,-0.00024875,-0.00023762,-0.00022566,-0.00022187000000000002,-0.00022078,-0.00021337,-0.00020213,-0.00019608999999999997,-0.00017745,-0.0001581,-0.00014646,-0.00013673,-0.00013356999999999998,-0.00012889,-0.00012743,-0.00012455,-0.00012576999999999998,-0.00011915000000000001,-0.00011383,-0.00010623,-0.00010266999999999999,-0.0001007,-9.685000000000001e-05,-0.00010259,-0.00010091999999999999,-0.00010143000000000001,-8.947e-05,-8.771e-05,-8.423999999999999e-05,-8.794e-05,-9.562e-05
14,-0.00044838,-0.00042980000000000004,-0.00041139,-0.00040884,-0.00039059,-0.00039317000000000003,-0.00041696,-0.0004101,-0.00039622,-0.00035912,-0.00034204,-0.00033162,-0.00032133,-0.00030298,-0.0002964,-0.00029301,-0.00030677,-0.00031395,-0.00032829,-0.00031706000000000003,-0.00030408000000000003,-0.00028906,-0.00028287,-0.00027359,-0.00026734,-0.00025283,-0.00023921999999999998,-0.0002193,-0.00020154,-0.00018479,-0.0001736,-0.00016900000000000002,-0.00016469,-0.00017244000000000002,-0.00017050000000000002,-0.00017357,-0.00015128,-0.00014455000000000002,-0.00013071,-0.00012859000000000001,-0.00012122,-0.00011913,-0.0001232,-0.0001189,-0.00012189,-0.00010971,-0.00010203,-0.00010192,-0.00010630000000000001,-0.00011427
15,-0.00053747,-0.00051245,-0.00049036,-0.00049167,-0.00047732000000000004,-0.00047613,-0.00049966,-0.00049672,-0.00049801,-0.00046049000000000003,-0.00044156,-0.00042644,-0.00040525,-0.0003893,-0.00037501,-0.00037694,-0.00040329,-0.00041216,-0.00043383,-0.00041589,-0.00040326,-0.00037696,-0.00036401,-0.0003437,-0.00033006,-0.00030918,-0.00029026000000000003,-0.00027456000000000003,-0.00025664,-0.00024307999999999998,-0.00022773999999999998,-0.00021518,-0.00021396999999999999,-0.00022042,-0.00022296,-0.00021988,-0.0001916,-0.00018382,-0.00016605,-0.00015801,-0.00014711,-0.00014863000000000002,-0.0001487,-0.00014787,-0.00014569,-0.00013543,-0.00012589,-0.00012603,-0.00012964,-0.00013615
16,-0.00064808,-0.00061942,-0.00059079,-0.0005804,-0.0005612,-0.00055632,-0.00058396,-0.00057988,-0.00059066,-0.0005621399999999999,-0.00053717,-0.00052527,-0.00049663,-0.00048262,-0.00046517,-0.00047738,-0.00050339,-0.0005169500000000001,-0.0005411,-0.0005242900000000001,-0.00050877,-0.00047183999999999995,-0.00045983,-0.00043179,-0.00040825,-0.00038334,-0.00036953,-0.00035242,-0.0003386,-0.00032243,-0.00030564000000000003,-0.00028351,-0.00027288000000000003,-0.00027632,-0.00028147,-0.00027368,-0.00024398,-0.00023705999999999998,-0.00021041,-0.00019686,-0.00018543000000000002,-0.00018202,-0.00018228,-0.00018375,-0.00017968999999999998,-0.00017112,-0.00016191,-0.00015874,-0.00016753000000000002,-0.00017303
17,-0.0007368,-0.00071198,-0.0006816,-0.00066608,-0.00063664,-0.00062414,-0.00064918,-0.00064485,-0.00065148,-0.000631,-0.00061311,-0.0006096200000000001,-0.0005759300000000001,-0.00056013,-0.00053602,-0.00055586,-0.00057462,-0.00059699,-0.0006172100000000001,-0.00060793,-0.00059625,-0.0005641699999999999,-0.00054784,-0.0005172,-0.00049079,-0.00046034,-0.00044034,-0.00042042,-0.00040703,-0.00038957000000000005,-0.00037816,-0.00034978,-0.00033521,-0.00032753999999999997,-0.00033356,-0.00032069,-0.00029576,-0.00027874,-0.00024704,-0.00023136,-0.00022011,-0.00021715000000000002,-0.00021648999999999998,-0.00021307999999999999,-0.00020802,-0.0002046,-0.0001972,-0.00019411,-0.00019827,-0.00020848
18,-0.00076017,-0.0007562799999999999,-0.00073412,-0.00072542,-0.00068147,-0.0006706100000000001,-0.00068866,-0.00069457,-0.00068964,-0.0006693900000000001,-0.00064271,-0.00065675,-0.00062617,-0.00062161,-0.00059057,-0.0006008,-0.0006136700000000001,-0.00063537,-0.00066559,-0.00066359,-0.0006497,-0.0006325899999999999,-0.0006178900000000001,-0.00059044,-0.0005590199999999999,-0.00053233,-0.0005149,-0.00048828,-0.00046363999999999997,-0.00044026,-0.00043189,-0.00040645,-0.00038656000000000004,-0.00036847999999999997,-0.00036567,-0.00036109,-0.00033745000000000004,-0.00031838,-0.00027998,-0.00027007999999999996,-0.00025026,-0.00024854,-0.00024188,-0.00023595,-0.00023333000000000002,-0.00023150999999999998,-0.00022524,-0.00022281000000000002,-0.00022454,-0.00023313
19,-0.00077291,-0.00076242,-0.00075917,-0.0007596199999999999,-0.00070592,-0.00069698,-0.0006975099999999999,-0.0007191999999999999,-0.0006949300000000001,-0.00067994,-0.00064569,-0.0006710399999999999,-0.0006601,-0.00065522,-0.00062987,-0.00063267,-0.0006462799999999999,-0.00067348,-0.00070243,-0.000696,-0.0006760399999999999,-0.0006674099999999999,-0.00066258,-0.00064156,-0.00061104,-0.00059317,-0.00058083,-0.00054904,-0.00050487,-0.00047277,-0.00046943,-0.00044923999999999995,-0.00042453,-0.00039337,-0.00037928,-0.00037322,-0.00036063,-0.00034250000000000003,-0.0003057,-0.00029708,-0.00027641,-0.00027002,-0.00025955,-0.00025495,-0.00025571,-0.00025197999999999996,-0.00024927,-0.00024233,-0.00024394,-0.00025349
